id|Kanji|Strokes|"Name of Radical"|"Radical Freq."|"Reading within Joyo"|"Reading beyond Joyo"|"On within Joyo"|"Translation of On"|"Kun within Joyo"|"Translation of Kun"|"Kanji Frequency with Proper Nouns"
47|印|6|"Fushizukuri, Warifu"|6|イン、しるし||in|"seal, stamp, mark"|shirushi|"sign, mark; symbol, emblem; badge; evidence; souvenir; token; brand, trademark; signs, indications; omen; seal"|55714
1124|盛|11|Sara|8|セイ、[ジョウ]、も-る、さか-る、さか-ん||"sei, [joo]"|"prosper, flourish; copulate (animals)"|"mo(ru), saka(ru), saka(n)"|"serve, fill; heap up; prescribe or give (medicine); poison; mark out, graduate. prosperous; successful (meeting); energetic; enthusiastic; popular; furious (attack); keen (competition); extensive, large"|55458
1379|沖|7|"Mizu, Sanzui, Shitamizu"|118|チュウ、おき||chuu|"offing, open sea"|oki|"offing, open sea"|55452
1130|精|14|"Kome, Komehen"|10|セイ、[ショウ]|くわ|"sei, [shoo]"|"spirit, ghost, fairy; energy, vitality; white rice; details; excellence; purity; skill "|-|-|55290
364|旧|5|"Nichi, Nichihen"|38|キュウ|ふる|kyuu|"old things; old times; old friend; old calendar; former, ex-"|-|-|55161
1204|狙|8|"Inu, Kemonohen"|17|ソ、ねら-う||so|"aim at, sight; watch for, shadow, stalk"|nera(u)|"aim at, sight; watch for, shadow, stalk"|55133
829|七|2|Ichi|14|シチ、なな、なな-つ、[なの]|シツ|shichi|seven|"nana, nana(tsu), [nano]"|seven|55012
1768|幅|12|"Haba, Kinben"|17|フク、はば||fuku|"hanging scroll, picture; width; counter for scrolls "|haba|"width, breadth, range; difference (in price); power, influence "|54965
499|迎|7|Shinnyoo|51|ゲイ、むか-える||gei|"meet, greet, welcome; invite, engage"|muka(eru)|"meet, greet, welcome; invite, engage"|54743
980|笑|10|"Take, Takekanmuri"|24|ショウ、わら-う、え-む||shoo|laughter|"wara(u), e(mu)"|"laugh, smile; ridicule; be in full bloom. smile, bloom; split, open, crack "|54603
169|賀|12|"Kai, Kaihen"|35|ガ|カ|ga|"congratulations, felicitations, compliments, joy of the occasion"|-|-|54494
1774|払|5|Tehen|89|フツ、はら-う||futsu|"clear out, sweep away, wipe off, brush off, drive away, banish; prune; parry; pay; dispose of; wield (a sword) sideways; show interest in "|hara(u)|"clear out, sweep away, wipe off, brush off, drive away, banish; prune; parry; pay; dispose of; wield (a sword) sideways; show interest in "|54257
1620|廃|12|Madare|17|ハイ、すた-れる、すた-る||hai|"obsolescence; cessation; discarding"|"suta(reru), suta(ru)"|"become useless, get out of date, die out; be abolished; decline (in prosperity) "|53869
110|押|8|Tehen|89|オウ、お-す、お-さえる||oo|"push, shove; press, squash, compress; stamp, seal; do in spite of"|"o(su), o(saeru)"|"push, shove; press, squash, compress; stamp, seal; do in spite of; stop, check, restrain, pin down; suppress, subdue, control; catch, arrest; govern; stop (the ears); withhold; attach, seize; secure (evidence), estimate conservatively"|53525
696|妻|8|"Onna, Onnahen"|36|サイ、つま|め|sai|"(my) wife"|tsuma|"wife, spouse"|53436
920|宿|11|Ukanmuri|36|シュク、やど、やど-る、やど-す|スク、シュ|shuku|"lodging, inn, post town, relay station, stage "|"yado, yado(ru), yado(su)"|"lodge, dwell, live in; roost, be pregnant. keep (a guest); carry (a virus); conceive (a child). house, home, dwelling; address; inn, lodgings, shelter"|53369
211|角|7|"Tsuno, Tsunohen"|3|カク、かど、つの|すみ、ずみ|kaku|"angle; corner; square; squared timber; target"|"kado, tsuno"|"corner, angle; edge; angularity; harshness; horn, feeler, tentacle"|53297
357|逆|9|Shinnyoo|51|ギャク、さか、さか-らう|ゲキ|gyaku|"reverse, inverse, opposite, unnatural; wicked; traitorous"|"saka, saka(rau)"|"oppose, act contrary to; offend; reverse, inversion, upside down"|53169
724|削|9|"Katana, Rittoo"|32|サク、けず-る||saku|"plane, sharpen, whittle, pare, shave (leather); scrape off; cross out; reduce, curtail "|kezu(ru)|"plane, sharpen, whittle, pare, shave (leather); scrape off; cross out; reduce, curtail "|52954
2051|留|10|"Ta, Tahen"|19|リュウ、[ル]、と-める、と-まる||"ryuu, [ru]"|"stop, halt, stand still, pull up; cease, be interrupted, be discontinued; be choked; alight on, perch, roost; be held in position "|"to(meru), to(maru)"|"stop, halt, stand still, pull up; cease, be interrupted, be discontinued; be choked; alight on, perch, roost; be held in position. check; allay (pain); fasten; turn off; detain; forbid to do; dissuade "|52677
1592|熱|15|"Hi, Hihen, Renga"|26|ネツ、あつ-い||netsu|"heat, warmth; temperature; fever; mania, fad; enthusiasm; passion "|atsu(i)|hot|52483
2024|頼|16|Oogai|22|ライ、たの-む、たの-もしい、たよ-る||rai|"ask, request, entreat, appeal; entrust to, commission; employ, call in; depend on, have recourse to, trust in "|"tano(mu), tano(moshii), tayo(ru)"|"ask, request, entreat, appeal; entrust to, commission; employ, call in; depend on, have recourse to, trust in. rely on, have recourse to. reliable, trustworthy; hopeful "|52229
1792|並|8|Ni|6|ヘイ、なみ、なら-べる、なら-ぶ、なら-びに|な|hei|"line up, be in a row; rank with, rival, equal "|"nami, mara(beru), nara(bu), nara(bini)"|"line up, be in a row; rank with, rival, equal. arrange, place in order, marshal, put side by side, display, serve (food); enumerate; compare with. common, ordinary, average. and, besides, as well as"|52167
569|庫|10|Madare|17|コ、[ク]||"ko, [ku]"|storehouse|-|-|51789
292|丸|3|Ten|4|ガン、まる、まる-い、まる-める||gan|"full (month); perfection; purity; the ship-name suffix anciently used after the name of a sword or a child"|"maru, maru(i), maru(meru)"|"full (month); perfection; purity; the ship-name suffix anciently used after the name of a sword or a child; make round, round off, roll up, curl up; seduce; cajole; explain away; round, circular, spherical"|51748
1507|倒|10|"Hito, Ninben, Hitoyane"|104|トウ、たお-れる、たお-す||too|"fall, collapse, drop; break down, die, succumb to; fall senseless; be ruined; have a bad debt "|"tao(reru), tao(su)"|"fall, collapse, drop; break down, die, succumb to; fall senseless; be ruined; have a bad debt. bring down, throw down, blow down, fell, knock down, trip up; defeat; ruin, overthrow; kill; leave unpaid; cheat "|51738
882|樹|16|"Ki, Kihen"|85|ジュ|ズ、き、た、ぎ|ju|"tree, wood"|-|-|51575
383|巨|5|Hakogamae|2|キョ|コ|kyo|"big, large, great"|-|-|51473
498|芸|7|Kusakanmuri|47|ゲイ|ゲ|gei|"art, craft; artistic accomplishment; performance, acting; trick, stunt, feat"|-|-|51423
266|換|12|Tehen|89|カン、か-える、か-わる||kan|"change, turn, convert, exchange, renew, substitute, replace"|"ka(eru), ka(waru)"|"change, turn, convert, exchange, renew, substitute, replace; relieve"|51195
977|症|10|Yamaidare|15|ショウ||shoo|"illness; condition of a patient; nature of a disease, symptoms"|-|-|51142
481|掲|11|Tehen|89|ケイ、かか-げる||kei|"put up, hang out, hoist, display; publish, insert; describe; mention"|kaka(geru)|"put up, hang out, hoist, display; publish, insert; describe; mention"|50915
1043|伸|7|"Hito, Ninben, Hitoyane"|104|シン、の-びる、の-ばす、の-べる||shin|stretching|"no(biru), no(basu), no(beru)"|"extend, lengthen, stretch, spread; be postponed; increase; grow; progress, develop; be straightened, be flattened, be smoothed; be exhausted. let (nails) grow; straighten; uncoil; spread out; reach out; postpone; dilute; smooth out; develop (talents); amass (riches). make (a bed); widen "|50886
1351|弾|12|"Yumi, Yumihen"|11|ダン、ひ-く、はず-む、たま|はじ|dan|bullet|"hi(ku), hazu(mu), tama"|"play on. spring, bound, rebound; be inspired, be spurred on; invest in; be generous (in tipping); breathe with difficulty. bullet, shot, shell "|50880
142|河|8|"Mizu, Sanzui, Shitamizu"|118|カ、かわ||ka|"river, stream"|kawa|"river, stream"|50828
2091|戻|7|"To, Tokanmuri"|6|レイ、もど-す、もど-る||rei|"return, turn back; revert to, resume, return to; be returned; go backward "|"modo(ru), modo(su)"|"return, turn back; revert to, resume, return to; be returned; go backward. restore; turn back (a clock); reject; vomit "|50784
1395|兆|6|Hitoashi|9|チョウ、きざ-す、きざ-し||choo|"sign, omen, indication, portent; trillion"|"kiza(su), kiza(shi)"|"show a signs or symptoms of. signs, omen, symptoms"|50730
1255|像|14|"Hito, Ninben, Hitoyane"|104|ゾウ|かた|zoo|"image, statue, figure, picture, portrait"|-|-|50722
821|辞|13|Karai|3|ジ、や-める||ji|"word, term, expression; sentence; an address"|ya(meru)|resign|50717
913|従|10|Gyooninben|19|ジュウ、[ショウ]、[ジュ]、したが-う、したが-える||"juu, [shoo], [ju]"|"secondary, incidental, subordinate, accessory, junior; retainer; follow "|"shitaga(u), shitaga(eru)"|"obey, submit to, comply with, observe (a law); follow; accompany. be accompanied by, take (someone) with you; subjugate, subdue"|50374
1976|郵|11|Oozato|12|ユウ||yuu|"stagecoach stop; mail"|-|-|50252
1666|版|8|Katahen|2|ハン||han|"printing block or plate; printing; edition, impression; board; label"|-|-|50072
65|浦|10|"Mizu, Sanzui, Shitamizu"|118|うら|ホ、ポ|-|-|ura|"creek, inlet; bay, gulf; beach, seacoast"|49738
1702|避|16|Shinnyoo|51|ヒ、さ-ける||hi|"avoid, avert, ward off, keep aloof from, stay away from; evade, shirk, shun "|sa(keru)|"avoid, avert, ward off, keep aloof from, stay away from; evade, shirk, shun "|49702
608|更|7|Hirabi|8|コウ、さら、ふ-ける、ふ-かす|が|koo|"a watch of the night"|"sara, fu(keru), fu(kasu)"|"sit up late. get late; grow old; reach the height of the season. again; after all; more and more"|49407
193|壊|16|"Tsuchi, Tsuchihen"|50|カイ、こわ-す、こわ-れる|エ|kai|break|"kowa(su), kowa(reru)"|"break; destroy; tear up; crack; smack; mar; be broken; be demolished; fall into ruin"|49235
487|軽|12|"Kuruma, Kurumahen"|15|ケイ、かる-い、かろ-やか|キン|kei|"light; trifling, unimportant; simple, easy; plain or light (meal); undignified"|"karu(i), karo(yaka)"|"light; trifling, unimportant; simple, easy; plain or light (meal); undignified"|49092
1815|便|9|"Hito, Ninben, Hitoyane"|104|ベン、ビン、たよ-り||"ben, 	bin"|"convenience, facility; excreta, stools; evacuation. chance; mail, letter "|tayo(ri)|"news, tidings; connection "|48844
2093|鈴|13|"Kane, Kanehen"|33|レイ、リン、すず||"rei, 	rin"|"bell, hand bell, buzzer"|suzu|bell|48808
1076|陣|10|Kozatohen|31|ジン||jin|"battle array, ranks; camp; position"|-|-|48780
535|遣|13|Shinnyoo|51|ケン、つか-う、つか-わす|や|ken|"send, dispatch; give, donate, bestow on; do for (someone)"|"tsuka(u), tsuka(wasu)"|"send, dispatch; give, donate, bestow on; do for (someone); use; handle, manipulate; employ; need, want; spend, consume; speak (English); practice (fencing); take (one’s lunch); circulate (bad money)"|48420
1688|彼|8|Gyooninben|19|ヒ、かれ、[かの]|か|hi|"he; that"|"kare, [kano]"|"he. that, the "|48150
970|昇|8|"Nichi, Nichihen"|38|ショウ、のぼ-る||shoo|"rise, ascend, go up, climb; go to (the capital); add up to; be promoted; advance (in price); sail up; come up (on the agenda) "|nobo(ru)|"rise, ascend, go up, climb; go to (the capital); add up to; be promoted; advance (in price); sail up; come up (on the agenda) "|48108
1859|房|8|"To, Tokanmuri"|6|ボウ、ふさ|ホウ|boo|"house, room; tassel"|fusa|"tuft, tassel, fringe; lock (of hair); cluster, bunch, segment (of an orange)"|48104
506|欠|4|Akubi|8|ケツ、か-ける、か-く|あくび|ketsu|"lack, gap"|"ka(keru), ka(ku)"|"lack; break, crack, chip; neglect; fail in; omit; be broken (off), be chipped; lack, be missing; wane; be vacant (a position)"|48044
502|劇|15|"Katana, Rittoo"|32|ゲキ|はげ|geki|"drama, play"|-|-|47985
1416|聴|17|"Mimi, Mimihen"|5|チョウ、き-く||choo|"careful inquiry"|ki(ku)|"hear, listen to, learn of; inquire; follow advice "|47901
1282|損|13|Tehen|89|ソン、そこ-なう、そこ-ねる||son|"loss; disadvantage, handicap"|"soko(nau), soko(neru)"|"harm, hurt, injure, damage, mar; lose, oppress"|47814
1356|池|6|"Mizu, Sanzui, Shitamizu"|118|チ、いけ||chi|"pond, pool, cistern, basin, reservoir"|ike|"pond, pool, cistern, basin, reservoir"|47798
937|純|10|"Ito, Itohen"|63|ジュン||jun|"purity, innocence; net (profit)"|-|-|47796
1237|創|12|"Katana, Rittoo"|32|ソウ、つく-る|はじ|soo|"wound, injury, hurt; cut, gash, bruise, scratch; scar; weak point"|tsuku(ru)|-|47756
376|救|11|Nobun|16|キュウ、すく-う|ク|kyuu|"save, help, rescue, relieve (suffering); redeem, reclaim"|suku(u)|"save, help, rescue, relieve (suffering); redeem, reclaim"|47547
1988|余|7|"Hito, Ninben, Hitoyane"|104|ヨ、あま-る、あま-す||yo|"I, myself, the writer; surplus, other; remainder. over, more than"|"ama(ru), ama(su)"|"remain, be in excess, be too many. leave, spare, save "|47259
1750|婦|11|"Onna, Onnahen"|36|フ||fu|"woman; wife; bride"|-|-|47248
384|居|8|Shikabane|15|キョ、い-る|コ、ゴ、お|kyo|residence|i(ru)|"be, exist; be found in, stay in; inhabit; live with, reside; be present; remain (sitting)"|46963
479|恵|10|"Kokoro, Risshinben, Shitagokoro"|76|ケイ、エ、めぐ-む||"kei, 	e"|"blessing, grace, favor; kindness, mercy, benevolence, charity"|megu(mu)|"bless; show mercy to, render benevolence to"|46794
2060|了|2|Haneboo|3|リョウ||ryoo|"finish, complete; understand"|-|-|46718
248|刊|5|"Katana, Rittoo"|32|カン||kan|"publishig; carve, engrave"|-|-|46452
389|許|11|"Gon, Gonben"|68|キョ、ゆる-す|コ、もと|kyo|"permit, approve; authorize; acknowledge; confide in; forgive, pardon; release, acquit; overlook "|yuru(su)|"permit, approve; authorize; acknowledge; confide in; forgive, pardon; release, acquit; overlook "|46404
1824|募|12|Chikara|23|ボ、つの-る||bo|"gather (contributions); campaign (for students); float (a loan); enlist (troops); grow violent"|tsuno(ru)|"gather (contributions); campaign (for students); float (a loan); enlist (troops); grow violent"|46383
1366|竹|6|"Take, Takekanmuri"|24|チク、たけ||chiku|bamboo|take|"bamboo; bamboo wind instrument"|46323
1457|締|15|"Ito, Itohen"|63|テイ、し-まる、し-める||tei|"tie, tighten; wring, constrict, strangle; shut; total; control strictly; rebuke "|"shi(maru), shi(meru)"|"tie, tighten; wring, constrict, strangle; shut; total; control strictly; rebuke. be shut, be locked, be fastened; be tight, be firm; become sober, reform; be thrifty "|46310
261|患|11|"Kokoro, Risshinben, Shitagokoro"|76|カン、わずら-う||kan|disease|wazura(u)|"be ill, suffer from; be afficted"|46261
734|札|5|"Ki, Kihen"|85|サツ、ふだ||satsu|"paper money, counter for bonds, etc"|fuda|"tag, placard; name plate; check; charm, (playing) card; tender, bid"|46167
544|懸|20|"Kokoro, Risshinben, Shitagokoro"|76|ケン、[ケ]、か-ける、か-かる||"ken, [ke]"|"hang; set up (a ladder); cover; construct, install; sit down; sprinkle, pour on; put on; ring up; weigh; multiply; levy; pay (in installments); anchor; start (a machine); wind; turn on (radio); spend on; offer (prizes); put (under treatment); set (on fire)"|"ka(keru), ka(karu)"|"hang; set up (a ladder); cover; construct, install; sit down; sprinkle, pour on; put on; ring up; weigh; multiply; levy; pay (in installments); anchor; start (a machine); wind; turn on (radio); spend on; offer (prizes); put (under treatment); set (on fire). hang on, be suspended from, be caught, be trapped; be built; begin; arrive at; require, cost; play against, oppose; be splashed; weigh (a pound); be levied; (the instrument or tool) works; attack, fall on; is now showing at; consult; depend (on a son)"|46161
60|羽|6|Hane|6|ウ、は、はね|わ|u|feather|"ha, hane"|"feather; plumage, wing; blade, paddle, fan"|46076
98|遠|13|Shinnyoo|51|エン、[オン]、とお-い||"en, [on]"|"far, distant, remote; hard (of hearing)"|too(i)|"far, distant, remote; hard (of hearing)"|45975
1529|踏|15|"Ashi, Ashihen"|11|トウ、ふ-む、ふ-まえる||too|"step on, trample on, stamp on; carry through, practice; appraise; set foot on; evade payment "|"fu(mu), fu(maeru)"|"step on, trample on, stamp on; carry through, practice; appraise; set foot on; evade payment. stand on"|45834
2054|隆|11|Kozatohen|31|リュウ|ル、たか|ryuu|"high, noble, prosperity"|-|-|45777
1753|普|12|"Nichi, Nichihen"|38|フ|あまね|fu|"widely, generally"|-|-|45675
1165|絶|12|"Ito, Itohen"|63|ゼツ、た-える、た-やす、た-つ||zetsu|"be beyond (words)"|"ta(eru), ta(yasu), ta(tsu)"|"become extinct, die out, discontinue, end, fail, peter out. exterminate, root out; run out of (stock); let (a fire) go out. sever, cut off; shut off, interrupt; abstain from; eradicate; suppress"|45507
1634|迫|8|Shinnyoo|51|ハク、せま-る||haku|"press for, urge, force, spur on; approach; gain on, close in on; be on the verge of; be imminent "|sema(ru)|"press for, urge, force, spur on; approach; gain on, close in on; be on the verge of; be imminent "|45504
1176|染|9|"Ki, Kihen"|85|セン、そ-める、そ-まる、し-みる、し-み||sen|"be dyed, be imbued with, be tainted with"|"so(meru), so(maru), shi(miru), shi(mi)"|"be dyed, be imbued with, be tainted with. dye, color, paint. soak in, permeate, infiltrate; pierce (as a wind); be imbued with, be influenced by; smart; be sensitive to pain. stain, blot, spot, smudge"|45259
1488|途|10|Shinnyoo|51|ト|ズ|to|"way, road"|-|-|45157
1244|層|14|Shikabane|15|ソウ||soo|"(social) class; stratum, layer, seam, bed, formation; story, floor; course (of stones)"|-|-|45107
2037|里|7|"Sato, Satohen"|4|リ、さと||ri|"village; a Japanese league, 2.44 miles"|sato|"village, hamlet, the country; parents' home"|45081
1451|停|11|"Hito, Ninben, Hitoyane"|104|テイ||tei|stopping|-|-|45060
386|拠|8|Tehen|89|キョ、コ|よりどころ、よ|"kyo, 	ko"|"be based on, follow"|-|-|44834
1273|属|12|Shikabane|15|ゾク|ショク、つ|zoku|"genus; subordinate official"|-|-|44814
1534|闘|18|Mongamae|11|トウ、たたか-う||too|fighting|tataka(u)|"wage war; fight; engage in a contest; struggle against"|44751
424|曲|6|Hirabi|8|キョク、ま-がる、ま-げる|くせ|kyoku|"music, tone, melody, composition; fault"|"ma(garu), ma(geru)"|"bend, curve, swerve; be crooked; turn; be awry; be perverse; lean; decline; bow; distort; depart from (principles); pawn"|44726
1749|浮|10|"Mizu, Sanzui, Shitamizu"|118|フ、う-く、う-かれる、う-かぶ、う-かべる||fu|"float, be floated, rise to the surface; be cheered up; be set on edge, feel loose (teeth); be left over, be saved "|"u(ku), u(kareru), u(kabu), u(kaberu)"|"float, be floated, rise to the surface; be cheered up; be set on edge, feel loose (teeth); be left over, be saved. launch, sail (a toy ship), refloat; waft; express (feelings in the face); recall. surface; flit across (the face), occur to; play (about the lips, as a smile); rise in the world; rest in peace. be in high spirits, go on a spree "|44612
59|宇|6|Ukanmuri|36|ウ||u|"eaves; roof; house; heaven"|-|-|44514
1341|短|12|"Ya, Yahen"|4|タン、みじか-い||tan|"shortness, brevity; fault, defect, demerit, weak point"|mijika(i)|"short, brief"|44330
752|散|12|Nobun|16|サン、ち-る、ち-らす、ち-らかす、ち-らかる||san|"scatter, disperse; spend, squander; dispel, dissipate, chase away "|"chi(ru), chi(rasu), chi(rakasu), chi(rakaru)"|"fall, scatter, be scattered, be shed; disperse; (rumor) spreads; run, spread, blur. dissipate (fog); dispel; take down or loosen (the hair); rout; distribute (handbills); distract (attention); splash on (a pattern). scatter (around), disarrange, leave untidy. lie scattered around, be in disorder "|44313
1306|替|12|Hirabi|8|タイ、か-える、か-わる||tai|"change, turn, convert, exchange, renew, substitute, replace "|"ka(eru), ka(waru)"|"change, turn, convert, exchange, renew, substitute, replace. relieve"|44036
1871|暴|15|"Nichi, Nichihen"|38|ボウ、[バク]、あば-く、あば-れる||"boo, [baku]"|"violence, force, outrage, cruelty"|"aba(ku), aba(reru)"|"rage, rave, fret; buck. unearth, disclose, rave, divulge, reveal; open (a grave) "|43965
2029|乱|7|"Otsu, Otsunyoo"|7|ラン、みだ-れる、みだ-す||ran|"riot, rebellion, war"|"mida(reru), mida(su)"|"put in disorder; disturb, agitate; corrupt; derange (the mind). be out of order, be confused; be disturbed, be disorganized; be demoralized, be lax; be disheveled "|43946
2135|湾|12|"Mizu, Sanzui, Shitamizu"|118|ワン|ま|wan|"gulf, bay, inlet"|-|-|43782
1669|般|10|"Fune, Funehen"|8|ハン||han|"carry; all"|-|-|43597
1506|逃|9|Shinnyoo|51|トウ、に-げる、に-がす、のが-す、のが-れる||too|"flee, run away, escape; shirk, evade, back out "|"ni(geru), ni(gasu), noga(su), noga(reru)"|"flee, run away, escape; shirk, evade, back out. let go, set free, let escape, miss (a chance). avoid"|43360
617|皇|9|Shiro|5|コウ、オウ|すめらぎ|"koo, 	oo"|emperor|-|-|43267
1258|蔵|15|Kusakanmuri|47|ゾウ、くら||zoo|"storehoure, warehouse, godown; cellar; depository, treasury; granary, elevator"|kura|"storehoure, warehouse, godown; cellar; depository, treasury; granary, elevator"|43152
973|昭|9|"Nichi, Nichihen"|38|ショウ|あき、て|shoo|"clear, bright"|-|-|42854
1552|徳|14|Gyooninben|19|トク||toku|"virtue, goodness; good; gain; power to command respect"|-|-|42750
1682|盤|15|Sara|8|バン|ハン|ban|"shallow bowl, platter, tray, tub; board; phonograph record"|-|-|42521
1979|裕|12|"Koromo, Koromohen"|21|ユウ|ユ|yuu|"abundant, rich, fruitful, fertile"|-|-|42283
1727|描|11|Tehen|89|ビョウ、えが-く、か-く||byoo|"write, compose; draw, paint "|"ega(ku), ka(ku)"|"write, compose; draw, paint. sketch, describe "|42225
1377|仲|6|"Hito, Ninben, Hitoyane"|104|チュウ、なか||chuu|"relation, relationship"|naka|"relation, relationship"|42150
1162|節|13|"Take, Takekanmuri"|24|セツ、[セチ]、ふし||"setsu, [sechi]"|"season, period, occasion, time; verse, clause, paragraph, section, stanza; integrity, honor"|fushi|"joint, knuckle; knob, lump, knot; tune, melody; point (in a talk)"|42145
2057|旅|10|"Hoo, Hoohen"|6|リョ、たび||ryo|"journey; go around"|tabi|journey|42135
477|契|9|Dai|16|ケイ、ちぎ-る||kei|"pledge, vow, swear, promise"|chigi(ru)|"pledge, vow, swear, promise"|42071
68|永|5|"Mizu, Sanzui, Shitamizu"|118|エイ、なが-い||ei|"long, lengthy"|naga(i)|"long, lengthy"|42048
1265|則|9|"Katana, Rittoo"|32|ソク|のっと、すなわ、のり|soku|"follow (precedent), be based on, go by; live up to; model after; be in accordance with"|-|-|42023
2009|養|15|"Shoku, Shokuhen"|12|ヨウ、やしな-う||yoo|"bring up, rear; adopt, foster; support; promote (health); cultivate, develop"|yashina(u)|"bring up, rear; adopt, foster; support; promote (health); cultivate, develop"|42009
561|固|8|Kunigamae|12|コ、かた-める、かた-まる、かた-い||ko|"harden, stiffen, solidify, set, settle, congeal, clot, curdle, conglomerate; get together; be devoted to; settle down (weather) "|"kata(meru), kata(maru), kata(i)"|"harden; tighten; freeze; curdle; strengthen; stabilize; defend, fortify; collect, amass; settle down, locate. stiffen, solidify, set, settle, congeal, clot, conglomerate; get together; be devoted to; hard, solid; tough, rigid; tight; steady, firm; strict; safe, reliable, upright; chaste, sonstant; stiff; bookish; classical; stubborn"|41792
430|均|7|"Tsuchi, Tsuchihen"|50|キン|ひと|kin|"to level, to average"|-|-|41745
331|棄|13|"Ki, Kihen"|85|キ|す|ki|"throw away, discard, abandon, desert, give up; renounce, relinquish; resign; lay down (one’s life); part with; sacrifice; reject, condemn"|-|-|41725
508|血|6|Chi|2|ケツ、ち||ketsu|blood|chi|"blood, consanguinity"|41708
2133|惑|12|"Kokoro, Risshinben, Shitagokoro"|76|ワク、まど-う||waku|"be perplexed, be in doubt, hesitate, vacillate, go astray, err; be tempted; be infatuated; be misguided "|mado(u)|"be perplexed, be in doubt, hesitate, vacillate, go astray, err; be tempted; be infatuated; be misguided "|41571
1032|植|12|"Ki, Kihen"|85|ショク、う-える、う-わる||shoku|planting|"u(eru), u(waru)"|"plant, set out, raise, sow; set type. be planted"|41556
439|緊|15|"Ito, Itohen"|63|キン|し|kin|"hard, solid; reliable; tight"|-|-|41503
1329|脱|11|"Niku, Nikuzuki"|44|ダツ、ぬ-ぐ、ぬ-げる||datsu|removing|"nu(gu), nu(geru)"|"take off (clothes); undress. come off, slip off, slip down"|41449
1023|縄|15|"Ito, Itohen"|63|ジョウ、なわ||joo|"rope, cord"|nawa|"rope, cord"|41421
307|希|7|"Haba, Kinben"|17|キ|ケ、こいねが、まれ|ki|Greece|-|-|41379
808|寺|6|Sun|12|ジ、てら|シ|ji|temple|tera|temple|41334
1169|占|5|Uranai|1|セン、し-める、うらな-う||sen|"occupy, hold, have, get, take (a seat)"|"shi(meru), urana(u)"|"occupy, hold, have, get, take (a seat). divine, forecast, augur "|41311
2068|僚|14|"Hito, Ninben, Hitoyane"|104|リョウ||ryoo|"official; companion"|-|-|41142
1319|択|7|Tehen|89|タク|えら|taku|"choose, select; cull out; elect; prefer; decide on"|-|-|41135
1266|息|10|"Kokoro, Risshinben, Shitagokoro"|76|ソク、いき|むすこ、やす|soku|"son; interest (on money)"|iki|"breath, respiration"|41044
1914|密|11|Ukanmuri|36|ミツ|ひそ|mitsu|"secrecy, denseness (of population); minuteness; carefulness; fineness "|-|-|41010
1581|肉|6|"Niku, Nikuzuki"|44|ニク||niku|"flesh, muscles; meat; the flesh; seal pad, ink pad; thickness, succulence "|-|-|40897
1227|倉|10|"Hito, Ninben, Hitoyane"|104|ソウ、くら||soo|storehouse|kura|"warehouse, godown; cellar; depository, treasury; granary, elevator"|40861
1370|築|16|"Take, Takekanmuri"|24|チク、きず-く||chiku|"build, construct"|kizu(ku)|"build, construct"|40789
330|貴|12|"Kai, Kaihen"|35|キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ||ki|"value, prize, esteem; respect, honor, revere"|"tatto(i), tooto(i), tatto(bu), tooto(bu)"|"value, prize, esteem; respect, honor, revere; valuable, precious; noble, exalted, venerable"|40784
1270|測|12|"Mizu, Sanzui, Shitamizu"|118|ソク、はか-る||soku|"measure, gauge, weigh; fathom, sound; compute, estimate"|haka(ru)|"measure, gauge, weigh; fathom, sound; compute, estimate"|40780
2089|冷|7|Nisui|6|レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます||rei|"cold, cool "|"tsume(tai), hi(eru), hi(ya), hi(yasu), hi(yakasu), sa(meru), sa(masu)"|"cool down, grow cold; feel chilly. cool, refrigerate. cool (in water or ice); banter, make fun, speak playfully, tease; window-shop, look in at a shop. get cold; abate, subside; dampen, cool down (interest); come down (interest, enthusiasm, etc.), let cool; throw a damper on, spoil. cold drinking water. cold, chilly, icy, freezing; cold hearted "|40543
716|埼|11|"Tsuchi, Tsuchihen"|50|[さい]|さき、ざき|-|-|[sai]|"cape, used for the name of prefecture, 'Saitama'"|40496
1599|納|10|"Ito, Itohen"|63|ノウ、[ナッ]、[ナ]、[ナン]、[トウ]、おさ-める、おさ-まる|い|"noo, [naQ], [na], [nan], [too]"|"obtain, reap; dedicate, consecrate; pay; supply; store; finish; collect; restore; replace; accept (a present); burry; gather; rally (troops); sheathe (the sword) "|"osa(meru), osa(maru)"|"obtain, reap; dedicate, consecrate; pay; supply; store; finish; collect; restore; replace; accept (a present); burry; gather; rally (troops); sheathe (the sword). be paid; be restored; stay (in the stomach); look composed; be contented; be satisfied; be settled "|40403
1431|痛|12|Yamaidare|15|ツウ、いた-い、いた-む、いた-める||tsuu|pain|"ita(i), ita(mu), ita(meru)"|"feel a pain, hurt; be hurt, be damaged, be spoiled, be bruised, wear out, be worn out. injure, impair, spoil, worry, bother, afflict, cause pain. painful, sore; trying "|40235
166|我|7|"Hokogamae, Hokozukuri"|7|ガ、われ、わ||ga|"ego, self, selfishness, egotism"|"ware, wa"|"I, oneself, self, ego"|39896
461|繰|19|"Ito, Itohen"|63|く-る||-|-|ku(ru)|"reel (thread); wind; gin (cotton); spin; turn (pages); look up (a word, etc.); refer to; count (the days); open (shutters)"|39890
